tau,coverage,selective_risk,risk_ucb,answered,errors,feasible,config_hash,seed
0.82,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.825,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.83,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.835,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.84,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.845,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.85,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.855,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.86,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.865,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.87,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.875,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.88,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.885,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.89,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.895,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.9,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.905,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.91,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.915,0.0125,0.6,0.8878,5,3,False,773e1b820203,1337
0.92,0.01,0.5,0.8574,4,2,False,773e1b820203,1337
0.925,0.01,0.5,0.8574,4,2,False,773e1b820203,1337
0.93,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.935,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.94,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.945,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.95,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.955,0.0075,0.6667,0.9655,3,2,False,773e1b820203,1337
0.96,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.965,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.97,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.975,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.98,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.985,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.99,0.005,1.0,1.0,2,2,False,773e1b820203,1337
0.995,0.005,1.0,1.0,2,2,False,773e1b820203,1337
